,context_recall,faithfulness,factual_correctness,answer_relevancy,latency_p50,latency_p99,cost_p50,cost_p99
markdown_chunker_cosine,0.6001623376623377,0.7980768179631816,0.601,0.8088170881134709,0.94,10.687,0.0004704,0.000772
markdown_chunker_multi_query,0.7089569160997732,0.8632748427953669,0.5989473684210527,0.7997900421579774,0.934,8.42926,7.62e-05,0.0010948
naive_chunker_cosine,0.9500000000000001,0.9201673880666622,0.7523809523809524,0.8947741068381774,0.9345,7.80525,0.0006788,0.001462
naive_chunker_multi_query,0.990909090909091,0.880431263482642,0.7523809523809524,0.8025451969448716,0.8845,9.69771,8.31e-05,0.0015884
